model,set,clip,peak
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0001.wav,0.946875
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0002.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0003.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0004.wav,0.995313
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0005.wav,0.911719
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0006.wav,0.933594
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0007.wav,0.348438
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0008.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0009.wav,0.249219
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0010.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0011.wav,0.917969
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0012.wav,0.995313
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0013.wav,0.992969
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0014.wav,0.628125
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0015.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0016.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0017.wav,0.985156
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0018.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0019.wav,0.993750
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0020.wav,0.987500
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0021.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0022.wav,0.958594
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0023.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0024.wav,0.984375
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0025.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/jay,hey_seeree_0026.wav,0.996094
