model,set,clip,peak
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0001.wav,0.860875
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0002.wav,0.919496
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0003.wav,0.494915
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0004.wav,0.749754
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0005.wav,0.016245
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0006.wav,0.009421
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0007.wav,0.089205
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0008.wav,0.893373
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0009.wav,0.671318
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0010.wav,0.880958
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0011.wav,0.112656
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0012.wav,0.885392
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0013.wav,0.005461
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0014.wav,0.202458
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0015.wav,0.918350
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0016.wav,0.840838
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0017.wav,0.908810
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0018.wav,0.924062
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0019.wav,0.916248
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0020.wav,0.863909
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0021.wav,0.865063
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0022.wav,0.927019
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0023.wav,0.910497
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0024.wav,0.917419
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0025.wav,0.900235
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0026.wav,0.739518
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0027.wav,0.077573
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0028.wav,0.011785
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0029.wav,0.567994
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0030.wav,0.029307
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0031.wav,0.884632
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0032.wav,0.858807
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0033.wav,0.786999
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0034.wav,0.331484
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jay,hey_seeree_0035.wav,0.835073
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0039.wav,0.877558
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0065.wav,0.881178
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0077.wav,0.871738
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0083.wav,0.914969
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0095.wav,0.921616
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0102.wav,0.934287
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0109.wav,0.772691
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0110.wav,0.938871
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0128.wav,0.939967
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/jen,hey_seeree_0137.wav,0.090320
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/ryan,hey_seeree_0027.wav,0.198854
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/ryan,hey_seeree_0029.wav,0.010632
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/ryan,hey_seeree_0031.wav,0.001702
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/ryan,hey_seeree_0035.wav,0.005280
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/ryan,hey_seeree_0036.wav,0.849410
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,pos/ryan,hey_seeree_0038.wav,0.050935
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_044_am_eric.wav,0.000874
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_045_am_liam.wav,0.000902
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_046_am_onyx.wav,0.000865
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_047_am_puck.wav,0.004154
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_048_bf_emma.wav,0.000873
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_049_bf_lily.wav,0.000936
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_050_bf_alice.wav,0.000891
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_051_bm_george.wav,0.000857
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_052_bm_lewis.wav,0.000823
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_053_bm_daniel.wav,0.001009
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_054_af_bella.wav,0.000848
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/command,command_055_af_nicole.wav,0.000836
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_000_af_bella.wav,0.152815
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_001_af_nicole.wav,0.644178
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_002_af_sarah.wav,0.904110
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_003_af_sky.wav,0.350269
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_004_af_heart.wav,0.001440
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_005_af_nova.wav,0.356406
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_006_am_adam.wav,0.757263
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_007_am_michael.wav,0.002290
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_008_am_eric.wav,0.002829
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_009_am_liam.wav,0.001015
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_010_am_onyx.wav,0.001129
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_011_am_puck.wav,0.001018
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_012_bf_emma.wav,0.001693
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_013_bf_lily.wav,0.001177
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_014_bf_alice.wav,0.002115
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_015_bm_george.wav,0.001735
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_016_bm_lewis.wav,0.001308
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_017_bm_daniel.wav,0.002973
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_018_af_bella.wav,0.001046
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_019_af_nicole.wav,0.107027
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_020_af_sarah.wav,0.001511
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_021_af_sky.wav,0.000863
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_022_af_heart.wav,0.000956
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_023_af_nova.wav,0.000918
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_024_am_adam.wav,0.000906
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_025_am_michael.wav,0.001294
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_026_am_eric.wav,0.001382
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_027_am_liam.wav,0.001019
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_028_am_onyx.wav,0.001088
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_029_am_puck.wav,0.000861
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_030_bf_emma.wav,0.000864
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_031_bf_lily.wav,0.000874
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_032_bf_alice.wav,0.001189
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_033_bm_george.wav,0.000885
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_034_bm_lewis.wav,0.000857
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_035_bm_daniel.wav,0.000906
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_036_af_bella.wav,0.000844
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_037_af_nicole.wav,0.000938
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_038_af_sarah.wav,0.000843
hey_seeree_55e182a-dirty-c9897b91-hc34dc7e.onnx,neg/extend,extend_039_af_sky.wav,0.000923
