model,set,clip,peak
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0001.wav,0.960020
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0002.wav,0.957009
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0003.wav,0.636037
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0004.wav,0.952093
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0005.wav,0.010440
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0006.wav,0.004012
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0007.wav,0.131927
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0008.wav,0.957785
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0009.wav,0.840117
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0010.wav,0.867015
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0011.wav,0.013241
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0012.wav,0.957755
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0013.wav,0.134044
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0014.wav,0.023304
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0015.wav,0.964723
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0016.wav,0.953693
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0017.wav,0.963108
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0018.wav,0.960301
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0019.wav,0.966966
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0020.wav,0.967782
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0021.wav,0.870316
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0022.wav,0.957545
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0023.wav,0.961948
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0024.wav,0.956171
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0025.wav,0.897296
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0026.wav,0.959706
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0027.wav,0.290958
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0028.wav,0.268516
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0029.wav,0.726279
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0030.wav,0.115860
hey_seeree_55e182a-dirty-c9897b91-hf37e3df.tflite#5cadbc53,pos/jay,hey_seeree_0031.wav,0.953293
