model,set,clip,peak
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0001.wav,0.748507
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0002.wav,0.912543
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0003.wav,0.182179
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0004.wav,0.888672
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0005.wav,0.002231
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0006.wav,0.006209
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0007.wav,0.054166
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0008.wav,0.881380
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0009.wav,0.642439
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0010.wav,0.348837
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0011.wav,0.053815
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0012.wav,0.870198
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0013.wav,0.396030
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0014.wav,0.065552
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0015.wav,0.911337
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0016.wav,0.756454
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0017.wav,0.903679
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0018.wav,0.926581
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0019.wav,0.879010
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0020.wav,0.907324
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0021.wav,0.233177
hey_seeree_55e182a-dirty-c306c00f-h509d9ea.tflite,pos/jay,hey_seeree_0022.wav,0.894640
