model,set,clip,peak
hey_seeree.tflite,pos/jay,hey_seeree_0001.wav,0.985068
hey_seeree.tflite,pos/jay,hey_seeree_0002.wav,0.987961
hey_seeree.tflite,pos/jay,hey_seeree_0003.wav,0.880971
hey_seeree.tflite,pos/jay,hey_seeree_0004.wav,0.980153
hey_seeree.tflite,pos/jay,hey_seeree_0005.wav,0.006647
hey_seeree.tflite,pos/jay,hey_seeree_0006.wav,0.005679
hey_seeree.tflite,pos/jay,hey_seeree_0007.wav,0.062751
hey_seeree.tflite,pos/jay,hey_seeree_0008.wav,0.987454
hey_seeree.tflite,pos/jay,hey_seeree_0009.wav,0.976372
hey_seeree.tflite,pos/jay,hey_seeree_0010.wav,0.976783
hey_seeree.tflite,pos/jay,hey_seeree_0011.wav,0.223411
hey_seeree.tflite,pos/jay,hey_seeree_0012.wav,0.981748
hey_seeree.tflite,pos/jay,hey_seeree_0013.wav,0.093633
hey_seeree.tflite,pos/jay,hey_seeree_0014.wav,0.444136
hey_seeree.tflite,pos/jay,hey_seeree_0015.wav,0.987078
hey_seeree.tflite,pos/jay,hey_seeree_0016.wav,0.978692
hey_seeree.tflite,pos/jay,hey_seeree_0017.wav,0.984310
hey_seeree.tflite,pos/jay,hey_seeree_0018.wav,0.989477
hey_seeree.tflite,pos/jay,hey_seeree_0019.wav,0.984896
hey_seeree.tflite,pos/jay,hey_seeree_0020.wav,0.983240
hey_seeree.tflite,pos/jay,hey_seeree_0021.wav,0.989807
hey_seeree.tflite,pos/jay,hey_seeree_0022.wav,0.981560
hey_seeree.tflite,pos/jay,hey_seeree_0023.wav,0.989307
hey_seeree.tflite,pos/jay,hey_seeree_0024.wav,0.987281
hey_seeree.tflite,pos/jay,hey_seeree_0025.wav,0.983384
hey_seeree.tflite,pos/jay,hey_seeree_0026.wav,0.986136
hey_seeree.tflite,pos/jay,hey_seeree_0027.wav,0.347350
hey_seeree.tflite,pos/jay,hey_seeree_0028.wav,0.059693
hey_seeree.tflite,pos/jay,hey_seeree_0029.wav,0.765127
hey_seeree.tflite,pos/jay,hey_seeree_0030.wav,0.954347
hey_seeree.tflite,pos/jay,hey_seeree_0031.wav,0.986400
hey_seeree.tflite,pos/jay,hey_seeree_0032.wav,0.986181
hey_seeree.tflite,pos/jay,hey_seeree_0033.wav,0.929345
hey_seeree.tflite,pos/jay,hey_seeree_0034.wav,0.981500
hey_seeree.tflite,pos/jay,hey_seeree_0035.wav,0.983622
hey_seeree.tflite,pos/jen,hey_seeree_0039.wav,0.970930
hey_seeree.tflite,pos/jen,hey_seeree_0065.wav,0.987568
hey_seeree.tflite,pos/jen,hey_seeree_0077.wav,0.988227
hey_seeree.tflite,pos/jen,hey_seeree_0083.wav,0.990354
hey_seeree.tflite,pos/jen,hey_seeree_0095.wav,0.988352
hey_seeree.tflite,pos/jen,hey_seeree_0102.wav,0.991425
hey_seeree.tflite,pos/jen,hey_seeree_0109.wav,0.723959
hey_seeree.tflite,pos/jen,hey_seeree_0110.wav,0.991490
hey_seeree.tflite,pos/jen,hey_seeree_0128.wav,0.990804
hey_seeree.tflite,pos/jen,hey_seeree_0137.wav,0.458973
hey_seeree.tflite,pos/ryan,hey_seeree_0027.wav,0.976744
hey_seeree.tflite,pos/ryan,hey_seeree_0029.wav,0.298396
hey_seeree.tflite,pos/ryan,hey_seeree_0031.wav,0.188522
hey_seeree.tflite,pos/ryan,hey_seeree_0035.wav,0.068297
hey_seeree.tflite,pos/ryan,hey_seeree_0036.wav,0.979012
hey_seeree.tflite,pos/ryan,hey_seeree_0038.wav,0.010746
hey_seeree.tflite,neg/command,command_044_am_eric.wav,0.000814
hey_seeree.tflite,neg/command,command_045_am_liam.wav,0.000870
hey_seeree.tflite,neg/command,command_046_am_onyx.wav,0.000795
hey_seeree.tflite,neg/command,command_047_am_puck.wav,0.000961
hey_seeree.tflite,neg/command,command_048_bf_emma.wav,0.000956
